Team,Type,Subtype,Period,Start Frame,Start Time [s],End Frame,End Time [s],From,To,Start X,Start Y,End X,End Y
Home,PASS,,1,10886,435.44,10921,436.84,Player2,Player6,2.120000000000002,-12.919999999999996,4.240000000000004,7.479999999999999
Home,PASS,,1,11008,440.32,11028,441.12,Player6,Player5,-8.480000000000002,17.68,-22.26,21.08
Home,BALL LOST,INTERCEPTION,1,11063,442.52,11101,444.04,Player5,,-25.439999999999998,23.799999999999997,-38.16,3.3999999999999995
Away,RECOVERY,INTERCEPTION,1,11101,444.04,11101,444.04,Player16,,-37.099999999999994,1.3600000000000012,,
Away,BALL LOST,HEAD-INTERCEPTION,1,11158,446.32,11158,446.32,Player16,,-34.98,-0.0,-14.840000000000002,12.92
Home,RECOVERY,INTERCEPTION,1,11159,446.36,11159,446.36,Player6,,-15.900000000000002,10.879999999999999,,
Home,PASS,,1,11159,446.36,11199,447.96,Player6,Player4,-15.900000000000002,10.879999999999999,-6.359999999999999,-4.080000000000004
Home,PASS,,1,11275,451.0,11318,452.72,Player4,Player8,-11.659999999999998,-8.16,-22.26,-31.959999999999997
Home,PASS,,1,11387,455.48,11417,456.68,Player8,Player4,-26.5,-29.919999999999995,-19.08,-23.119999999999997
Home,BALL LOST,INTERCEPTION,1,11441,457.64,11476,459.04,Player4,,-19.08,-22.439999999999998,-28.62,14.280000000000001
Away,RECOVERY,INTERCEPTION,1,11478,459.12,11478,459.12,Player22,,-27.560000000000002,10.879999999999999,,
Home,CHALLENGE,GROUND-LOST,1,11517,460.68,11517,460.68,Player5,,-26.5,6.799999999999999,,
Away,CHALLENGE,GROUND-WON,1,11519,460.76,11519,460.76,Player22,,-27.560000000000002,7.479999999999999,,
Away,CHALLENGE,TACKLE-LOST,1,11534,461.36,11534,461.36,Player22,,-26.5,6.120000000000002,,
Away,BALL LOST,THEFT,1,11534,461.36,11534,461.36,Player22,,-26.5,6.120000000000002,,
Home,CHALLENGE,TACKLE-WON,1,11641,465.64,11641,465.64,Player7,,-13.780000000000001,-0.6800000000000006,,
Home,RECOVERY,THEFT,1,11641,465.64,11641,465.64,Player7,,-13.780000000000001,-0.6800000000000006,,
Home,PASS,,1,11647,465.88,11685,467.4,Player7,Player10,-13.780000000000001,-0.6800000000000006,-21.200000000000003,-0.0
Home,PASS,,1,11685,467.4,11703,468.12,Player10,Player5,-21.200000000000003,-0.0,-18.02,4.08
Home,PASS,,1,11721,468.84,11744,469.76,Player5,Player9,-20.14,4.08,-30.740000000000002,7.479999999999999
Home,PASS,,1,11810,472.4,11885,475.4,Player9,Player8,-32.86,0.6800000000000006,-39.22,-25.16
Home,PASS,,1,11958,478.32,11976,479.04,Player8,Player9,-41.34,-24.48,-42.400000000000006,-14.959999999999997
Home,PASS,,1,11976,479.04,11994,479.76,Player9,Player8,-42.400000000000006,-14.959999999999997,-38.16,-20.400000000000002
Home,PASS,,1,12069,482.76,12146,485.84,Player8,Player1,-28.62,-7.479999999999999,-37.099999999999994,23.799999999999997
Home,PASS,CROSS,1,12180,487.2,12202,488.08,Player1,Player10,-40.28,19.720000000000002,-47.7,-3.400000000000003
Home,SHOT,ON TARGET-GOAL,1,12202,488.08,12212,488.48,Player10,,-47.7,-3.400000000000003,-54.06,-2.040000000000002
Away,SET PIECE,KICK OFF,1,13801,552.04,13801,552.04,Player24,,,,,
Away,PASS,,1,13801,552.04,13830,553.2,Player24,Player20,0.0,-0.0,-10.599999999999998,4.08
Away,PASS,,1,14032,561.28,14069,562.76,Player20,Player16,-5.299999999999999,4.760000000000001,-11.659999999999998,-10.880000000000003
Away,PASS,,1,14125,565.0,14172,566.88,Player16,Player15,-6.359999999999999,-17.68,10.599999999999998,-32.64
Away,PASS,,1,14189,567.56,14234,569.36,Player15,Player19,12.719999999999999,-33.32,26.5,-24.48
Home,CHALLENGE,TACKLE-WON,1,14243,569.72,14243,569.72,Player6,,27.560000000000002,-23.799999999999997,,
Home,RECOVERY,THEFT,1,14243,569.72,14243,569.72,Player6,,27.560000000000002,-23.799999999999997,,
Away,BALL LOST,THEFT,1,14245,569.8,14245,569.8,Player19,,27.560000000000002,-25.16,,
Home,PASS,,1,14278,571.12,14293,571.72,Player6,Player4,31.800000000000004,-29.919999999999995,37.099999999999994,-27.200000000000003
Home,PASS,,1,14293,571.72,14319,572.76,Player4,Player7,37.099999999999994,-27.200000000000003,29.680000000000003,-24.48
Home,PASS,,1,14339,573.56,14366,574.64,Player7,Player4,29.680000000000003,-24.48,40.28,-27.880000000000003
Home,PASS,,1,14447,577.88,14472,578.88,Player4,Player6,34.98,-26.52,30.740000000000002,-31.959999999999997
Away,CHALLENGE,TACKLE-WON,1,14546,581.84,14546,581.84,Player19,,21.199999999999996,-31.279999999999998,,
Away,RECOVERY,THEFT,1,14546,581.84,14546,581.84,Player19,,21.199999999999996,-31.279999999999998,,
Away,BALL OUT,,1,14546,581.84,14571,582.84,Player19,,21.199999999999996,-31.279999999999998,14.840000000000002,-34.68
Home,CHALLENGE,TACKLE-LOST,1,14550,582.0,14550,582.0,Player6,,21.199999999999996,-32.64,,
Home,BALL LOST,THEFT,1,14550,582.0,14550,582.0,Player6,,21.199999999999996,-32.64,,
Home,SET PIECE,THROW IN,1,14844,593.76,14844,593.76,Player4,,,,,
Home,PASS,,1,14844,593.76,14902,596.08,Player4,Player3,15.900000000000002,-34.68,34.98,-22.439999999999998
Home,PASS,,1,14921,596.84,14971,598.84,Player3,Player11,36.04,-21.080000000000005,48.76,0.6800000000000006
Home,BALL LOST,INTERCEPTION,1,15023,600.92,15096,603.84,Player11,,50.879999999999995,8.84,9.539999999999997,31.959999999999997
Away,RECOVERY,INTERCEPTION,1,15094,603.76,15094,603.76,Player18,,8.479999999999995,29.24,,
Away,BALL LOST,INTERCEPTION,1,15094,603.76,15149,605.96,Player18,,8.479999999999995,29.24,19.080000000000005,29.92
Home,CHALLENGE,GROUND-WON,1,15147,605.88,15147,605.88,Player5,,19.080000000000005,25.16,,
Home,RECOVERY,INTERCEPTION,1,15147,605.88,15147,605.88,Player5,,19.080000000000005,25.16,,
Away,CHALLENGE,GROUND-LOST,1,15149,605.96,15149,605.96,Player22,,19.080000000000005,25.16,,
Home,PASS,,1,15153,606.12,15190,607.6,Player5,Player2,19.080000000000005,25.16,26.5,26.52
Home,PASS,,1,15194,607.76,15212,608.48,Player2,Player1,26.5,27.200000000000003,20.139999999999993,32.64
Home,BALL OUT,,1,15212,608.48,15254,610.16,Player1,,20.139999999999993,32.64,24.38,34.68
Away,SET PIECE,THROW IN,1,15449,617.96,15449,617.96,Player18,,,,,
Away,PASS,,1,15449,617.96,15486,619.44,Player18,Player17,21.199999999999996,34.0,5.300000000000004,26.52
